code,name,activity,days,start_time,end_time,room,section,teacher
101461,تقويم الأسنان (2),عملي,الأحد,12:00 PM,4:00 PM,مخبر3,1,ه.ت
101461,تقويم الأسنان (2),عملي,الاثنين,8:00 AM,12:00 PM,مخبر7,2,ه.ت
101472,طب أسنان الأطفال (1),نظري,السبت,8:00 AM,12:00 PM,6128,1,د.ليليان أزرق
101472,طب أسنان الأطفال (1),عملي,السبت,12:00 PM,4:00 PM,عيادة 7 ط,1,ه.ت
101472,طب أسنان الأطفال (1),عملي,الأحد,8:00 AM,12:00 PM,عيادة 7 ط,2,ه.ت
101473,أمراض النسج حول السنية (2),نظري,السبت,10:00 AM,2:00 PM,6129,1,د. رويدا صايمة
101473,أمراض النسج حول السنية (2),عملي,الثلاثاء,8:00 AM,12:00 PM,عيادة 3 ح,1,ه.ت
101473,أمراض النسج حول السنية (2),عملي,الثلاثاء,12:00 PM,4:00 PM,عيادة 3 ح,2,ه.ت
101483,التخدير و القلع (2),نظري,السبت,8:00 AM,12:00 PM,6022,1,د. مازن زيناتي
101483,التخدير و القلع (2),عملي,السبت,12:00 PM,4:00 PM,عيادة 9,1,ه.ت
101483,التخدير و القلع (2),عملي,الاثنين,8:00 AM,12:00 PM,عيادة 9,2,ه.ت
101484,التخدير و القلع (3),نظري,الثلاثاء,8:00 AM,12:00 PM,6119,1,د.محمد المقداد
101484,التخدير و القلع (3),عملي,السبت,8:00 AM,12:00 PM,عيادة 9,1,ه.ت
101484,التخدير و القلع (3),عملي,الأحد,12:00 PM,4:00 PM,عيادة 9,2,ه.ت
101521,التشخيص الشعاعي,نظري,السبت,8:00 AM,12:00 PM,6127,1,د. محمد يحيى سالم ركاب
101521,التشخيص الشعاعي,عملي,الثلاثاء,8:00 AM,12:00 PM,مخبر شمع,1,ه.ت
101521,التشخيص الشعاعي,عملي,الثلاثاء,12:00 PM,4:00 PM,مخبر شمع,2,ه.ت
101535,مداواة الأسنان المحافظة (4),عملي,الاثنين,8:00 AM,12:00 PM,عيادة 6 م,1,ه.ت
101535,مداواة الأسنان المحافظة (4),عملي,الاثنين,12:00 PM,4:00 PM,عيادة 6 م,2,ه.ت
101535,مداواة الأسنان المحافظة (4),عملي,الثلاثاء,12:00 PM,4:00 PM,عيادة 6 م,3,ه.ت
101536,مداواة الأسنان اللبية (3),نظري,الأحد,8:00 AM,12:00 PM,6121,1,د. صفوح البني
101536,مداواة الأسنان اللبية (3),عملي,الاثنين / السبت,8:00 AM,12:00 PM,عيادة 5 ل,1,ه.ت
101536,مداواة الأسنان اللبية (3),عملي,الاثنين / السبت,12:00 PM,4:00 PM,عيادة 5 ل,2,ه.ت
101537,مداواة الأسنان اللبية (4),عملي,الأحد,8:00 AM,12:00 PM,عيادة 6 م,1,ه.ت
101537,مداواة الأسنان اللبية (4),عملي,الثلاثاء,12:00 PM,4:00 PM,عيادة 5 ل,2,ه.ت
101537,مداواة الأسنان اللبية (4),عملي,الثلاثاء,8:00 AM,12:00 PM,عيادة 5 ل,3,ه.ت
101544,التعويضات الثابتة (4),نظري,الاثنين,12:00 PM,4:00 PM,6120,1,د.ناصر القبق
101544,التعويضات الثابتة (4),عملي,السبت,12:00 PM,4:00 PM,عيادة 4 ث,1,ه.ت
101544,التعويضات الثابتة (4),عملي,الأحد,8:00 AM,12:00 PM,عيادة 4 ث,2,ه.ت
101545,التعويضات الثابتة (5),عملي,الاثنين,8:00 AM,12:00 PM,عيادة 4 ث,1,ه.ت
101545,التعويضات الثابتة (5),عملي,الثلاثاء,12:00 PM,4:00 PM,عيادة 4 ث,2,ه.ت
101546,التعويضات السنية الكاملة المتحركة (2),نظري,السبت,12:00 PM,4:00 PM,6124,1,د. غسان وزير
101546,التعويضات السنية الكاملة المتحركة (2),عملي,الأحد,8:00 AM,12:00 PM,عيادة 2ص,1,ه.ت
101546,التعويضات السنية الكاملة المتحركة (2),عملي,الاثنين,12:00 PM,4:00 PM,عيادة 2ص,2,ه.ت
101556,طب الفم (2) عملي,عملي,الاثنين,8:00 AM,12:00 PM,عيادة 8,1,ه.ت
101556,طب الفم (2) عملي,عملي,الأحد,8:00 AM,12:00 PM,عيادة 8,2,ه.ت
101557,طب الفم (2),نظري,السبت,12:00 PM,2:00 PM,6126,1,د. محمود عبد الحق
101571,طب أسنان الأطفال (2),نظري,السبت,8:00 AM,12:00 PM,6125,1,د.مهند لفلوف
101571,طب أسنان الأطفال (2),عملي,الثلاثاء,8:00 AM,12:00 PM,عيادة 7 ط,1,ه.ت
101571,طب أسنان الأطفال (2),عملي,الأحد,12:00 PM,4:00 PM,عيادة 7 ط,2,ه.ت
101573,زراعة الأسنان,نظري,الاثنين,2:00 PM,4:00 PM,6119,1,د. غسان البسيط
101573,زراعة الأسنان,عملي,الثلاثاء,8:00 AM,12:00 PM,مخبر7,1,ه.ت
101573,زراعة الأسنان,عملي,الثلاثاء,12:00 PM,4:00 PM,مخبر7,2,ه.ت
101574,امراض النسج حول السنية (3),نظري,الاثنين,8:00 AM,12:00 PM,6129,1,د.محمد عاطف درويش
101574,امراض النسج حول السنية (3),عملي,السبت,8:00 AM,12:00 PM,عيادة 3 ح,1,ه.ت
